;canción;álbum
0;Get Up, Stand Up;One Love (Original Motion Picture Soundtrack)
1;Roots, Rock, Reggae;One Love (Original Motion Picture Soundtrack)
2;I Shot The Sheriff;One Love (Original Motion Picture Soundtrack)
3;No More Trouble;One Love (Original Motion Picture Soundtrack)
4;"War/No More Trouble - From ""Bob Marley: One Love"" Soundtrack";One Love (Original Motion Picture Soundtrack)
5;"So Jah S'eh - From ""Bob Marley: One Love"" Soundtrack";One Love (Original Motion Picture Soundtrack)
6;Natural Mystic;One Love (Original Motion Picture Soundtrack)
7;Turn Your Lights Down Low;One Love (Original Motion Picture Soundtrack)
8;Exodus;One Love (Original Motion Picture Soundtrack)
9;Jamming;One Love (Original Motion Picture Soundtrack)
10;Concrete Jungle;One Love (Original Motion Picture Soundtrack)
11;No Woman, No Cry - Live At The Rainbow Theatre, London / 4th June 1977 / Remastered 2020;One Love (Original Motion Picture Soundtrack)
12;Three Little Birds;One Love (Original Motion Picture Soundtrack)
13;Redemption Song;One Love (Original Motion Picture Soundtrack)
14;One Love / People Get Ready;One Love (Original Motion Picture Soundtrack)
15;Is This Love;One Love (Original Motion Picture Soundtrack)
16;Rastaman Chant;One Love (Original Motion Picture Soundtrack)
17;Concrete Jungle;Catch A Fire (50th Anniversary)
18;Slave Driver;Catch A Fire (50th Anniversary)
19;400 Years;Catch A Fire (50th Anniversary)
20;Stop That Train;Catch A Fire (50th Anniversary)
21;Baby We've Got A Date (Rock It Baby);Catch A Fire (50th Anniversary)
22;Stir It Up;Catch A Fire (50th Anniversary)
23;Kinky Reggae;Catch A Fire (50th Anniversary)
24;No More Trouble;Catch A Fire (50th Anniversary)
25;Midnight Ravers;Catch A Fire (50th Anniversary)
26;Slave Driver - Jamaican Extended Version / 2023;Catch A Fire (50th Anniversary)
27;400 Years - Jamaican Extended Version / 2023;Catch A Fire (50th Anniversary)
28;High Tide Or Low Tide - Jamaican Alternate Version / 2023;Catch A Fire (50th Anniversary)
29;Stir It Up - Jamaican Alternate Version / Take 1 / 2023;Catch A Fire (50th Anniversary)
30;No More Trouble - Jamaican Extended Instrumental / 2023;Catch A Fire (50th Anniversary)
31;Stir It Up - Jamaican Extra Organ Version;Catch A Fire (50th Anniversary)
32;No More Trouble - Jamaican Extended Version / 2023;Catch A Fire (50th Anniversary)
33;Stop That Train - Working Mono Version;Catch A Fire (50th Anniversary)
34;Slave Driver - Live At The Sundown Theatre, Edmonton, UK / May 1973;Catch A Fire (50th Anniversary)
35;Get Up, Stand Up - Live At The Sundown Theatre, Edmonton, UK / May 1973;Catch A Fire (50th Anniversary)
36;Stop That Train - Live At The Sundown Theatre, Edmonton, UK / May 1973;Catch A Fire (50th Anniversary)
37;So Much Trouble In The World;Africa Unite
38;Them Belly Full (But We Hungry);Africa Unite
39;Redemption Song;Africa Unite
40;Waiting In Vain;Africa Unite
41;Turn Your Lights Down Low;Africa Unite
42;Three Little Birds;Africa Unite
43;Buffalo Soldier;Africa Unite
44;Stir It Up;Africa Unite
45;Jamming;Africa Unite
46;One Love;Africa Unite
47;Exodus;Bob Marley with the Chineke! Orchestra
48;Stir It Up;Bob Marley with the Chineke! Orchestra
49;One Love / People Get Ready;Bob Marley with the Chineke! Orchestra
50;Get Up, Stand Up;Bob Marley with the Chineke! Orchestra
51;Is This Love;Bob Marley with the Chineke! Orchestra
52;Redemption Song;Bob Marley with the Chineke! Orchestra
53;Top Rankin';Bob Marley with the Chineke! Orchestra
54;Satisfy My Soul;Bob Marley with the Chineke! Orchestra
55;I Shot The Sheriff;Bob Marley with the Chineke! Orchestra
56;Turn Your Lights Down Low;Bob Marley with the Chineke! Orchestra
57;Natural Mystic;Exodus (Deluxe Edition)
58;So Much Things To Say;Exodus (Deluxe Edition)
