id,Company,TypeName,Inches,Ram,OpSys,Weight,ScreenWidth,ScreenHeight,Touchscreen,IPS,marca_cpu,velocidad_cpu,total_almacenamiento_gb,ssd,hdd,flash,GPU_Intel,GPU_AMD,GPU_Nvidia,Price_euros
268,4,3,15.6,8.0,5,2.36,1366,768,0,0,1,2.7,1024.0,0,1,0,0,1,0,749.0
347,2,3,15.6,4.0,5,2.0,1366,768,0,0,1,1.1,1024.0,0,1,0,1,0,0,449.0
353,16,3,13.3,8.0,7,1.2,1920,1080,0,0,1,2.3,256.0,1,0,0,1,0,0,1460.0
578,4,1,15.6,16.0,5,4.42,3840,2160,0,1,1,2.8,1280.0,1,1,0,0,0,1,2868.99
42,4,4,12.5,8.0,7,1.26,1920,1080,1,0,1,2.4,256.0,1,0,0,1,0,0,1713.37
867,2,0,15.6,12.0,5,2.26,1920,1080,1,0,1,2.7,2560.0,1,1,0,0,0,1,1099.0
1136,2,3,15.6,4.0,2,2.0,1920,1080,0,0,1,2.0,256.0,1,0,0,1,0,0,415.0
609,11,1,15.6,8.0,5,2.4,1920,1080,0,0,1,2.8,1152.0,1,1,0,0,0,1,1142.8
474,2,4,14.0,8.0,5,1.3,1920,1080,0,1,1,2.7,256.0,1,0,0,0,0,1,1193.0
838,2,1,15.6,16.0,5,2.5,1920,1080,0,1,1,2.8,1280.0,1,1,0,0,0,1,1600.0
851,2,3,15.6,4.0,5,2.65,1366,768,0,0,1,1.6,1024.0,0,1,0,1,0,0,309.0
904,4,3,15.6,8.0,5,2.02,1920,1080,0,0,1,1.8,1152.0,1,1,0,1,0,0,855.0
355,16,3,15.6,8.0,5,2.2,1366,768,0,0,1,2.3,256.0,1,0,0,1,0,0,1119.0
44,7,3,15.6,6.0,5,1.95,1920,1080,0,1,0,3.0,256.0,1,0,0,0,1,0,649.0
36,16,3,14.0,4.0,5,1.75,1366,768,0,0,1,2.1,128.0,1,0,0,1,0,0,499.0
971,4,4,15.6,8.0,5,1.88,1920,1080,0,1,1,1.6,256.0,1,0,0,1,0,0,1096.16
938,10,0,14.0,4.0,5,1.74,1920,1080,1,1,1,2.4,256.0,1,0,0,1,0,0,629.0
718,0,3,15.6,6.0,5,2.23,1366,768,0,0,1,2.5,1024.0,0,1,0,1,0,0,549.0
518,10,3,15.6,32.0,5,2.5,3840,2160,0,1,1,3.1,1024.0,1,0,0,0,0,1,4899.0
1126,0,3,17.3,8.0,5,3.0,1920,1080,0,1,1,1.6,256.0,1,0,0,0,0,1,854.0
51,10,0,10.1,4.0,5,0.69,1920,1200,1,1,1,1.44,64.0,0,0,1,1,0,0,646.27
772,7,3,17.3,6.0,5,2.71,1920,1080,0,1,0,2.5,2048.0,0,1,0,0,1,0,655.01
1001,7,2,12.5,8.0,5,1.26,1366,768,0,0,1,2.6,256.0,1,0,0,1,0,0,1389.0
330,7,1,17.3,16.0,5,3.35,1920,1080,0,1,1,2.8,1280.0,1,1,0,0,0,1,1379.0
66,4,5,15.6,8.0,5,1.78,3840,2160,1,0,1,2.8,256.0,1,0,0,0,0,1,2712.0
829,2,3,15.6,4.0,2,2.0,1920,1080,0,0,1,2.0,1024.0,0,1,0,1,0,0,389.0
1129,0,3,15.6,4.0,5,2.4,1366,768,0,0,1,2.5,500.0,0,1,0,1,0,0,559.0
1197,10,3,15.6,6.0,5,2.4,1920,1080,0,0,1,2.5,256.0,1,0,0,0,0,1,695.0
171,10,3,15.6,4.0,5,2.2,1366,768,0,0,1,1.1,1024.0,0,1,0,1,0,0,306.0
233,7,3,14.0,8.0,5,1.95,1920,1080,0,0,1,2.5,256.0,1,0,0,1,0,0,980.0
205,4,3,15.6,8.0,5,2.13,1920,1080,0,0,1,1.6,256.0,1,0,0,0,1,0,728.0
361,2,1,15.6,8.0,5,2.5,1920,1080,0,0,1,2.8,1152.0,1,1,0,0,0,1,1265.0
1250,10,3,15.6,8.0,7,2.32,1920,1080,0,0,1,2.5,0.0,0,0,0,0,1,0,895.0
707,4,3,15.6,4.0,5,2.18,1366,768,0,0,1,2.0,1024.0,0,1,0,0,1,0,614.0
884,0,3,15.6,4.0,1,2.2,1920,1080,0,1,1,1.5,16.0,0,0,1,1,0,0,359.0
1071,10,3,15.6,6.0,5,2.2,1920,1080,0,0,0,3.6,256.0,1,0,0,0,1,0,597.57
95,4,3,15.6,4.0,5,2.2,1366,768,0,0,1,1.6,500.0,0,1,0,1,0,0,369.0
745,2,3,15.6,4.0,5,2.2,1366,768,0,0,1,1.6,500.0,0,1,0,1,0,0,369.0
899,0,3,15.6,4.0,2,2.1,1366,768,0,0,1,2.7,1024.0,0,1,0,1,0,0,367.0
313,2,4,15.6,8.0,5,1.7,1920,1080,0,0,1,2.7,256.0,1,0,0,0,0,1,1049.9
1063,11,1,15.6,8.0,5,2.2,1920,1080,0,0,1,2.5,1152.0,1,1,0,0,0,1,1119.91
193,4,0,15.6,8.0,5,2.3,1920,1080,1,1,1,2.7,256.0,1,0,0,1,0,0,1094.0
625,7,4,15.6,8.0,5,1.91,1920,1080,0,0,1,1.8,256.0,1,0,0,1,0,0,659.0
142,7,3,15.6,8.0,5,2.31,1920,1080,0,0,1,2.9,256.0,1,0,0,1,0,0,1427.0
243,7,0,11.6,8.0,1,1.4,1366,768,1,0,1,1.1,64.0,0,0,1,1,0,0,495.0
1214,7,3,14.0,8.0,5,1.48,1920,1080,0,0,1,2.6,256.0,1,0,0,1,0,0,1268.0
1047,4,3,15.6,4.0,5,2.3,1366,768,0,0,1,2.0,1024.0,0,1,0,1,0,0,418.64
648,10,3,15.6,4.0,4,2.2,1920,1080,0,0,1,2.0,1024.0,0,1,0,0,1,0,479.0
34,1,4,15.4,16.0,3,2.04,2880,1800,0,1,1,2.2,256.0,0,0,1,1,0,0,2139.97
804,7,3,14.0,4.0,7,1.54,1920,1080,0,0,1,2.3,500.0,0,1,0,1,0,0,1030.99
872,7,3,15.6,4.0,5,1.86,1920,1080,0,0,1,2.0,500.0,0,1,0,1,0,0,397.0
1297,7,3,15.6,8.0,7,1.88,1920,1080,0,0,1,2.3,256.0,1,0,0,1,0,0,1579.0
192,4,3,15.6,8.0,2,1.98,1920,1080,0,0,1,2.5,1024.0,0,1,0,1,0,0,726.0
451,7,3,15.6,4.0,5,2.1,1366,768,0,0,1,1.6,500.0,0,1,0,1,0,0,347.0
894,5,3,15.6,4.0,5,2.3,1366,768,0,0,1,2.3,256.0,1,0,0,1,0,0,649.0
961,16,4,14.0,8.0,5,1.47,1920,1080,0,1,1,2.6,256.0,1,0,0,1,0,0,1725.0
1168,10,4,14.0,4.0,5,1.7,1920,1080,0,0,1,2.3,180.0,1,0,0,1,0,0,1096.0
